PGM_PO_NUMBER,PRD_LVL_NUMBER,NEW_FOB
2612219,72934135,1.44
2612219,72934135,1.44
2612219,72934135,1.44
2612219,72934142,1.44
2612219,72934142,1.44
2612219,72934142,1.44
2612219,72934159,1.44
2612219,72934159,1.44
2612219,72934159,1.44
2612227,72934081,1.44
2612227,72934081,1.44
2612227,72934081,1.44
2612227,72934098,1.44
2612227,72934098,1.44
2612227,72934098,1.44
2612227,72934104,1.44
2612227,72934104,1.44
2612227,72934104,1.44
2612227,72934111,1.44
2612227,72934111,1.44
2612227,72934111,1.44
2612227,72934128,1.44
2612227,72934128,1.44
2612227,72934128,1.44
2612227,72934135,1.44
2612227,72934135,1.44
2612227,72934135,1.44
2612227,72934142,1.44
2612227,72934142,1.44
2612227,72934142,1.44
2612227,72934159,1.44
2612227,72934159,1.44
2612227,72934159,1.44
2612229,72934081,1.44
2612229,72934081,1.44
2612229,72934081,1.44
2612229,72934098,1.44
2612229,72934098,1.44
2612229,72934098,1.44
2612229,72934104,1.44
2612229,72934104,1.44
2612229,72934104,1.44
2612229,72934111,1.44
2612229,72934111,1.44
2612229,72934111,1.44
2612229,72934128,1.44
2612229,72934128,1.44
2612229,72934128,1.44
2612229,72934135,1.44
2612229,72934135,1.44
2612229,72934135,1.44
2612229,72934142,1.44
2612229,72934142,1.44
2612229,72934142,1.44
2612229,72934159,1.44
2612229,72934159,1.44
2612229,72934159,1.44
2657960,72756447,1.44
2657960,72756447,1.44
2657960,72756447,1.44
2657960,72756454,1.44
2657960,72756454,1.44
2657960,72756454,1.44
2657960,72756461,1.44
2657960,72756461,1.44
2657960,72756461,1.44
2657960,72756478,1.44
2657960,72756478,1.44
2657960,72756478,1.44
2657960,72756485,1.44
2657960,72756485,1.44
2657960,72756485,1.44
2657960,72756492,1.44
2657960,72756492,1.44
2657960,72756492,1.44
2657960,72756508,1.44
2657960,72756508,1.44
2657960,72756508,1.44
2657960,72756515,1.44
2657960,72756515,1.44
2657960,72756515,1.44
2662735,72934081,1.44
2662735,72934098,1.44
2662735,72934104,1.44
2662735,72934111,1.44
2662735,72934128,1.44
2662735,72934135,1.44
2662735,72934142,1.44
2662735,72934159,1.44
2662736,72756447,1.44
2662736,72756454,1.44
2662736,72756461,1.44
2662736,72756478,1.44
2662736,72756485,1.44
2662736,72756492,1.44
2662736,72756508,1.44
2662736,72756515,1.44
2662739,72756447,1.44
2662739,72756454,1.44
2662739,72756461,1.44
2662739,72756478,1.44
2662739,72756485,1.44
2662739,72756492,1.44
2662739,72756508,1.44
2662739,72756515,1.44
2668205,72756447,1.44
2668205,72756454,1.44
2668205,72756461,1.44
2668205,72756478,1.44
2668205,72756485,1.44
2668205,72756492,1.44
2668205,72756508,1.44
2668205,72756515,1.44
2671813,72756447,1.44
2671813,72756454,1.44
2671813,72756461,1.44
2671813,72756478,1.44
2671813,72756485,1.44
2671813,72756492,1.44
2671813,72756508,1.44
2671813,72756515,1.44
2671816,72756447,1.44
2671816,72756454,1.44
2671816,72756461,1.44
2671816,72756478,1.44
2671816,72756485,1.44
2671816,72756492,1.44
2671816,72756508,1.44
2671816,72756515,1.44
2678008,72756447,1.44
2678008,72756454,1.44
2678008,72756461,1.44
2678008,72756478,1.44
2678008,72756485,1.44
2678008,72756492,1.44
2678008,72756508,1.44
2678008,72756515,1.44
2662742,73450900,2.05
2662746,73450900,2.05
2662750,73450900,2.05
2662754,73450900,2.05
