PO Number,CASE PACK ID, FOB 
2667239,68720186*2     ,3.4
2667239,68720193*2     ,3.4
2667239,68720209*2     ,3.4
2667201,71945729*2A    ,6.84
2667201,71945736*2A    ,6.84
2667201,71945743*2A    ,6.84
2667201,71945750*2A    ,6.84
2667201,71945767*2A    ,6.84
2667201,71945774*2A    ,6.84
2667201,71945781*2A    ,6.84
2667202,71945798*2A    ,6.84
2667202,71945804*2A    ,6.84
2667202,71945811*2A    ,6.84
2667202,71945828*2A    ,6.84
2667202,71945835*2A    ,6.84
2667202,71945842*2A    ,6.84
2667207,71945729*2A    ,6.84
2667207,71945736*2A    ,6.84
2667207,71945743*2A    ,6.84
2667207,71945750*2A    ,6.84
2667207,71945767*2A    ,6.84
2667207,71945774*2A    ,6.84
2667207,71945781*2A    ,6.84
2667223,71945729*2A    ,6.84
2667223,71945736*2A    ,6.84
2667223,71945743*2A    ,6.84
2667223,71945750*2A    ,6.84
2667223,71945767*2A    ,6.84
2667223,71945774*2A    ,6.84
2667223,71945781*2A    ,6.84
2667224,71945798*2A    ,6.84
2667224,71945804*2A    ,6.84
2667224,71945811*2A    ,6.84
2667224,71945828*2A    ,6.84
2667224,71945835*2A    ,6.84
2667224,71945842*2A    ,6.84
2667226,71945729*2A    ,6.84
2667226,71945736*2A    ,6.84
2667226,71945743*2A    ,6.84
2667226,71945750*2A    ,6.84
2667226,71945767*2A    ,6.84
2667226,71945774*2A    ,6.84
2667226,71945781*2A    ,6.84
2667227,71945798*2A    ,6.84
2667227,71945804*2A    ,6.84
2667227,71945811*2A    ,6.84
2667227,71945828*2A    ,6.84
2667227,71945835*2A    ,6.84
2667227,71945842*2A    ,6.84
2667237,71945729*2A    ,6.84
2667237,71945736*2A    ,6.84
2667237,71945743*2A    ,6.84
2667237,71945750*2A    ,6.84
2667237,71945767*2A    ,6.84
2667237,71945774*2A    ,6.84
2667237,71945781*2A    ,6.84
2632516,71695327*2A    ,7.28
2632516,71695334*2A    ,7.28
2632516,71695341*2A    ,7.28
2632516,71695358*2A    ,7.28
2632516,71695365*2A    ,7.28
2632516,71695372*2A    ,7.28
2632516,71695389*2A    ,7.28
2666818,71598000*2A    ,7.28
2666818,71598017*2A    ,7.28
2666818,71598024*2A    ,7.28
2666818,71598031*2A    ,7.28
2666818,71598048*2A    ,7.28
2666818,71598055*2A    ,7.28
2666818,71598062*2A    ,7.28
2666819,71695464*2A    ,7.28
2666819,71695471*2A    ,7.28
2666819,71695488*2A    ,7.28
2666819,71695495*2A    ,7.28
2666819,71695501*2A    ,7.28
2666820,71695396*2A    ,7.28
2666820,71695402*2A    ,7.28
2666820,71695419*2A    ,7.28
2666820,71695426*2A    ,7.28
2666820,71695433*2A    ,7.28
2666820,71695440*2A    ,7.28
2666820,71695457*2A    ,7.28
2666832,71695327*2A    ,7.28
2666832,71695334*2A    ,7.28
2666832,71695341*2A    ,7.28
2666832,71695358*2A    ,7.28
2666832,71695365*2A    ,7.28
2666832,71695372*2A    ,7.28
2666833,71598000*2A    ,7.28
2666833,71598017*2A    ,7.28
2666833,71598024*2A    ,7.28
2666833,71598031*2A    ,7.28
2666833,71598048*2A    ,7.28
2666833,71598055*2A    ,7.28
2666833,71598062*2A    ,7.28
2666850,71695327*2A    ,7.28
2666850,71695334*2A    ,7.28
2666850,71695341*2A    ,7.28
2666850,71695358*2A    ,7.28
2666850,71695365*2A    ,7.28
2666850,71695372*2A    ,7.28
2666851,71598000*2A    ,7.28
2666851,71598017*2A    ,7.28
2666851,71598024*2A    ,7.28
2666851,71598031*2A    ,7.28
2666851,71598048*2A    ,7.28
2666851,71598055*2A    ,7.28
2666851,71598062*2A    ,7.28
2666852,71695396*2A    ,7.28
2666852,71695402*2A    ,7.28
2666852,71695419*2A    ,7.28
2666852,71695426*2A    ,7.28
2666852,71695433*2A    ,7.28
2666852,71695440*2A    ,7.28
2666852,71695457*2A    ,7.28
2666854,71598000*2A    ,7.28
2666854,71598017*2A    ,7.28
2666854,71598024*2A    ,7.28
2666854,71598031*2A    ,7.28
2666854,71598048*2A    ,7.28
2666854,71598055*2A    ,7.28
2666854,71598062*2A    ,7.28
2666855,71695464*2A    ,7.28
2666855,71695471*2A    ,7.28
2666855,71695488*2A    ,7.28
2666855,71695495*2A    ,7.28
2666855,71695501*2A    ,7.28
2666860,71695396*2A    ,7.28
2666860,71695402*2A    ,7.28
2666860,71695419*2A    ,7.28
2666860,71695426*2A    ,7.28
2666860,71695433*2A    ,7.28
2666860,71695440*2A    ,7.28
2666860,71695457*2A    ,7.28
2666861,71695327*2A    ,7.28
2666861,71695334*2A    ,7.28
2666861,71695341*2A    ,7.28
2666861,71695358*2A    ,7.28
2666861,71695365*2A    ,7.28
2666861,71695372*2A    ,7.28
2666862,71598000*2A    ,7.28
2666862,71598017*2A    ,7.28
2666862,71598024*2A    ,7.28
2666862,71598031*2A    ,7.28
2666862,71598048*2A    ,7.28
2666862,71598055*2A    ,7.28
2666862,71598062*2A    ,7.28
2666863,71695464*2A    ,7.28
2666863,71695471*2A    ,7.28
2666863,71695488*2A    ,7.28
2666863,71695495*2A    ,7.28
2666863,71695501*2A    ,7.28
2666869,71598000*2A    ,7.28
2666869,71598017*2A    ,7.28
2666869,71598024*2A    ,7.28
2666869,71598031*2A    ,7.28
2666869,71598048*2A    ,7.28
2666869,71598055*2A    ,7.28
2666869,71598062*2A    ,7.28
2666870,71598000*2A    ,7.28
2666870,71598017*2A    ,7.28
2666870,71598024*2A    ,7.28
2666870,71598031*2A    ,7.28
2666870,71598048*2A    ,7.28
2666870,71598055*2A    ,7.28
2666870,71598062*2A    ,7.28
2666871,71695396*2A    ,7.28
2666871,71695402*2A    ,7.28
2666871,71695419*2A    ,7.28
2666871,71695426*2A    ,7.28
2666871,71695433*2A    ,7.28
2666871,71695440*2A    ,7.28
2666871,71695457*2A    ,7.28
2666872,71695327*2A    ,7.28
2666872,71695334*2A    ,7.28
2666872,71695341*2A    ,7.28
2666872,71695358*2A    ,7.28
2666872,71695365*2A    ,7.28
2666872,71695372*2A    ,7.28
2666873,71695464*2A    ,7.28
2666873,71695471*2A    ,7.28
2666873,71695488*2A    ,7.28
2666873,71695495*2A    ,7.28
2666873,71695501*2A    ,7.28
2666877,71598000*2A    ,7.28
2666877,71598017*2A    ,7.28
2666877,71598024*2A    ,7.28
2666877,71598031*2A    ,7.28
2666877,71598048*2A    ,7.28
2666877,71598055*2A    ,7.28
2666877,71598062*2A    ,7.28
2666817,71695891*2A    ,4.69
2666817,71695907*2A    ,4.69
2666817,71695914*2A    ,4.69
2666817,71695921*2A    ,4.69
2666817,71695938*2A    ,4.69
2666817,71695945*2A    ,4.69
2666817,71695952*2A    ,4.69
2666831,71695891*2A    ,4.69
2666831,71695907*2A    ,4.69
2666831,71695914*2A    ,4.69
2666831,71695921*2A    ,4.69
2666831,71695938*2A    ,4.69
